iter	Logloss
0	0.6759883082
1	0.659994305
2	0.6383674338
3	0.6177722558
4	0.6040027786
5	0.5898508904
6	0.5774222409
7	0.5613668995
8	0.5465864622
9	0.5365312623
10	0.5245432891
11	0.510676007
12	0.4998545407
13	0.4894015606
14	0.4844763781
15	0.4770242337
16	0.4704496515
17	0.4644478438
18	0.4596858227
19	0.4520874263
20	0.4466587526
21	0.4437446989
22	0.4394518007
23	0.4359811231
24	0.4291159974
25	0.4258430666
26	0.4222013306
27	0.4166772861
28	0.4145089753
29	0.4085554109
30	0.407196499
31	0.4040512448
32	0.4010983574
33	0.3955425822
34	0.3931375578
35	0.3903700575
36	0.3858944563
37	0.3834970446
38	0.3801980796
39	0.3783785276
40	0.374941526
41	0.3719828265
42	0.3700949963
43	0.3677416481
44	0.3660998344
45	0.3645550785
46	0.3631084553
47	0.3625994107
48	0.3600648039
49	0.3588325604
50	0.3578420027
51	0.3564211929
52	0.3541912719
53	0.3529203221
54	0.3520570279
55	0.3510241313
56	0.3504669444
57	0.3491690731
58	0.3482633242
59	0.3471325132
60	0.3456823457
61	0.3436883614
62	0.3430560542
63	0.3427319099
64	0.3389867973
65	0.3382725318
66	0.3375132835
67	0.3367752203
68	0.3358102943
69	0.3351440549
70	0.3346407341
71	0.3337868342
72	0.3294298358
73	0.3286205884
74	0.3282335676
75	0.3280667957
76	0.3273850799
77	0.3267371806
78	0.326228773
79	0.325621983
80	0.3251126575
81	0.3243397936
82	0.3224891511
83	0.3206103253
84	0.3201219307
85	0.3188115975
86	0.318281568
87	0.3145272739
88	0.3135132304
89	0.3133306395
90	0.3129122203
91	0.3123905955
92	0.3122647731
93	0.3117522405
94	0.3115064684
95	0.3109074589
96	0.3107253872
97	0.3102680431
98	0.3091898284
99	0.3088017055
100	0.3084387102
101	0.3067473203
102	0.3062805132
103	0.3031923907
104	0.3028745102
105	0.3027955161
106	0.3026499175
107	0.3025466908
108	0.3021024739
109	0.301729655
110	0.3016458147
111	0.3013257928
112	0.3009977457
113	0.3009046009
114	0.2983167167
115	0.2980542982
116	0.2977866887
117	0.296085722
118	0.2953566275
119	0.2950331328
120	0.294815066
121	0.2946851799
122	0.2946229288
123	0.2943423066
124	0.2939705827
125	0.2938613111
126	0.2938016339
127	0.2935868049
128	0.2932658449
129	0.2931228801
130	0.2928404183
131	0.2926434477
132	0.2925559906
133	0.2919378676
134	0.2917490035
135	0.289023135
136	0.2889015077
137	0.2885349327
138	0.2882949705
139	0.2882025582
140	0.2858680903
141	0.2853530232
142	0.2849865349
143	0.2848343455
144	0.2814762942
145	0.2809322616
146	0.2802396726
147	0.2798905301
148	0.2782657299
149	0.2782237432
150	0.2781828132
151	0.2779262566
152	0.2772902386
153	0.2769015945
154	0.2768180469
155	0.2767736772
156	0.274456008
157	0.2744201103
158	0.2733647965
159	0.2730600624
160	0.2729930118
161	0.2729240659
162	0.2728947516
163	0.2727124752
164	0.2724410782
165	0.272188958
166	0.2721183215
167	0.2717319261
168	0.2711135219
169	0.2709974239
170	0.270649508
171	0.2706080208
172	0.2704935614
173	0.2701737689
174	0.2701634095
175	0.2699902762
176	0.2696120928
177	0.2692976908
178	0.2692896782
179	0.268433743
180	0.2662021019
181	0.2651434824
182	0.2650539586
183	0.2634734019
184	0.26327427
185	0.2632232504
186	0.2631279068
187	0.2630562575
188	0.2630522753
189	0.2630020254
190	0.2627726134
191	0.2627106992
192	0.2626391428
193	0.2616763421
194	0.2616757111
195	0.2615722731
196	0.2613453198
197	0.2609874385
198	0.2608804133
199	0.2608556786
200	0.2607233963
201	0.2607229309
202	0.2597207068
203	0.2597196878
204	0.2596274737
205	0.2586063812
206	0.2585689827
207	0.2585557717
208	0.2585512638
209	0.2580280541
210	0.258027442
211	0.2579894982
212	0.2578216643
213	0.2577736275
214	0.2576627243
215	0.2571225397
216	0.2565219693
217	0.2558672468
218	0.2545490496
219	0.253535585
220	0.2530113954
221	0.2529757165
222	0.2529696844
223	0.2529337514
224	0.2526396198
225	0.2522015873
226	0.252173291
227	0.2521034025
228	0.2521028821
229	0.2521012296
230	0.2520753032
231	0.251877222
232	0.2518571085
233	0.2517418878
234	0.2516916394
235	0.2515651895
236	0.2515640532
237	0.2513010464
238	0.2512504112
239	0.251052541
240	0.2508976111
241	0.2503699084
242	0.2491746474
243	0.2490815993
244	0.2489220141
245	0.2479973853
246	0.2465968936
247	0.2464494307
248	0.2463220992
249	0.2463037058
250	0.2456784997
251	0.2456753779
252	0.2446668942
253	0.2442173962
254	0.243973171
255	0.2435507558
256	0.2434426557
257	0.2434083829
258	0.2423669643
259	0.2423064212
260	0.2421839017
261	0.242055411
262	0.2418611306
263	0.2418483649
264	0.2417443156
265	0.2417434305
266	0.2415717142
267	0.2407830533
268	0.2407521339
269	0.2407057605
270	0.240654896
271	0.2388942223
272	0.2382490491
273	0.2382323503
274	0.2381172225
275	0.2379727121
276	0.237803114
277	0.2361181386
278	0.2350331428
279	0.2349777809
280	0.2349082422
281	0.233682541
282	0.233666416
283	0.2335260359
284	0.2333409371
285	0.2331681069
286	0.2330115529
287	0.2328404234
288	0.2328031991
289	0.2321331867
290	0.2321321428
291	0.231962313
292	0.2318676773
293	0.2317992621
294	0.231351356
295	0.231336005
296	0.2312656534
297	0.2303228536
298	0.23032222
299	0.2303217549
300	0.2302916433
301	0.2282190648
302	0.2282180303
303	0.2277762
304	0.2277469858
305	0.22765982
306	0.2276588018
307	0.2273818057
308	0.2270020712
309	0.225916791
310	0.2258179318
311	0.225673131
312	0.2255622617
313	0.2255058949
314	0.2252702454
315	0.225126125
316	0.2249511567
317	0.2244540176
318	0.2243468146
319	0.2243334153
320	0.2242389667
321	0.2238691659
322	0.2235826368
323	0.2235550048
324	0.2235359335
325	0.2234461927
326	0.2234297296
327	0.2234099927
328	0.2230712775
329	0.2230598692
330	0.222566283
331	0.2214929081
332	0.2209761086
333	0.2205803006
334	0.2205544244
335	0.2204928939
336	0.2202808049
337	0.2196815568
338	0.2195365752
339	0.2182712767
340	0.2176488366
341	0.2174179283
342	0.2170852464
343	0.2151830078
344	0.2149731729
345	0.2147005752
346	0.2129501147
347	0.2128354907
348	0.210639631
349	0.2103034902
350	0.2102031858
351	0.2098025402
352	0.209525648
353	0.2094974397
354	0.2093585865
355	0.2089127562
356	0.2072289312
357	0.2061438512
358	0.2061085208
359	0.2043739591
360	0.203991403
361	0.2029765108
362	0.2012237478
363	0.1995546962
364	0.1983501895
365	0.1971604727
366	0.1962567967
367	0.1960100262
368	0.1949106836
369	0.1944030181
370	0.1935336759
371	0.1930724758
372	0.192843778
373	0.1920940579
374	0.1912025193
375	0.1905516309
376	0.1896085028
377	0.1882836385
